0.7927,2.8883
2.6586,4.791
5.3199,7.6524
8.4388,10.4052
10.4837,13.4088
13.449,15.248
15.2315,18.2303
25.2341,27.9862
27.5944,30.0603
29.9665,34.6321
34.783,37.5866
38.1427,41.0751
45.1442,48.527
49.8886,54.4359
54.6063,57.7458
57.6886,60.1047
60.1484,63.4472
70.8673,74.0059
73.8351,75.9342
75.8347,78.6172
78.767,81.5167
82.2668,85.7481
85.9157,88.6813
89.0993,92.7811
92.8811,96.9129
96.7457,100.8282
100.9105,104.0764
105.5922,111.2563
115.0727,118.0188
118.2888,121.5209
122.004,125.1368
125.2368,128.519
