0,4.7823
8.231,10.897
11.1305,16.3137
17.4803,20.8959
20.8959,27.2441
29.6933,33.076
33.076,37.0245
39.3573,45.9382
45.9382,50.0871
55.834,61.0648
61.0648,66.6466
66.6466,72.0623
72.0623,75.911
75.911,82.2587
82.2587,85.3075
90.7386,95.2205
95.2205,100.752
100.752,107.9498
107.9498,112.6806
112.6806,117.1463
121.3276,125.3594
127.0422,129.9748
129.9748,133.7574
135.4073,139.239
139.239,141.9715
144.4373,147.2534
147.2534,152.3184
152.3184,157.0001
157.0001,162.3812
162.3812,166.4303
166.4303,169.2628
169.2628,172.4281
